genus,species,sample_start_date,sample_end_date,month,sample_value,sample_unit,sample_sex,sample_stage,sample_location,sample_lat_dd,sample_long_dd,sample_name,species_id_method,location_description
Culex,pipiens,10/15/2023,10/21/2023,Oct,38,pool size,female,adult,Baricella,44.65,11.533333,WN082B_16359,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,30,pool size,female,adult,Sissa Trecasali,44.9602,10.2616,WN036A_16358,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,32,pool size,female,adult,Soragna,44.933333,10.116667,WN035A_16357,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,3,pool size,female,adult,Colorno,44.933333,10.383333,WN017A_16356,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,7,pool size,female,adult,Roccabianca,45,10.216667,WN016A_16355,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,25,pool size,female,adult,Polesine Zibello,45.016667,10.083333,WN015A_16354,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,19,pool size,female,adult,Ravenna,44.416111,12.201667,WN124A_16353,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,24,pool size,female,adult,Ravenna,44.416111,12.201667,WN114A_16352,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,7,pool size,female,adult,Lugo,44.416667,11.916667,WN112A_16351,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,5,pool size,female,adult,Argenta,44.615278,11.833333,WN101A_16350,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,18,pool size,female,adult,Argenta,44.615278,11.833333,WN085A_16349,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,1,pool size,female,adult,Argenta,44.615278,11.833333,WN083A_16348,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,7,pool size,female,adult,Poggio Renatico,44.766667,11.5,WN064A_16347,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,3,pool size,female,adult,San Martino In Rio,44.733333,10.783333,WN076A_16346,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,5,pool size,female,adult,Montecchio Emilia,44.683333,10.433333,WN074A_16345,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,13,pool size,female,adult,Bagnolo In Piano,44.766667,10.683333,WN057A_16344,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,22,pool size,female,adult,Gattatico,44.8,10.466667,WN056A_16343,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,33,pool size,female,adult,Fabbrico,44.866667,10.8,WN040A_16342,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,17,pool size,female,adult,Novellara,44.85,10.733333,WN039A_16341,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,8,pool size,female,adult,Brescello,44.9,10.516667,WN038A_16340,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,25,pool size,female,adult,Luzzara,44.966667,10.683333,WN019A_16339,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,5,pool size,female,adult,Goro,44.85,12.3,WN052A_16338,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,6,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_16337,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,4,pool size,female,adult,Jolanda Di Savoia,44.883333,11.983333,WN049A_16336,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,4,pool size,female,adult,Copparo,44.9,11.833333,WN048A_16335,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,20,pool size,female,adult,Mesola,44.916667,12.233333,WN030A_16334,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,20,pool size,female,adult,Berra,44.983333,11.966667,WN029A_16333,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,3,pool size,female,adult,Berra,44.983333,11.966667,WN028A_16332,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,12,pool size,female,adult,Ro,44.933333,11.75,WN027A_16331,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,3,pool size,female,adult,Comacchio,44.7,12.183333,COMA02_16330,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,7,pool size,female,adult,Bologna,44.493889,11.342778,WN108A_16329,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,26,pool size,female,adult,San Pietro In Casale,44.7,11.4,BONORD14_16328,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,16,pool size,female,adult,Anzola Emilia,44.547222,11.195556,BONORD09_16327,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,24,pool size,female,adult,Sala Bolognese,44.616667,11.25,BONORD07_16326,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,28,pool size,female,adult,Crevalcore,44.716667,11.15,BONORD02_16325,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,3,pool size,female,adult,Crevalcore,44.716667,11.15,BONORD01_16324,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,20,pool size,female,adult,Cortemaggiore,45,9.933333,WN014A_16323,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,30,pool size,female,adult,Cadeo,44.966667,9.833333,WN013A_16322,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,48,pool size,female,adult,Castelvetro Piacentino,45.1,9.983333,WN006A_16321,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,3,pool size,female,adult,Caorso,45.05,9.866667,WN005A_16320,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,15,pool size,female,adult,Piacenza,45.047778,9.700556,WN004A_16319,morphological,Emilia-Romagna
Culex,pipiens,10/8/2023,10/14/2023,Oct,10,pool size,female,adult,Calendasco,45.083333,9.6,WN003A_16318,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,8,pool size,female,adult,Terre Del Reno,44.808124,11.405098,WN063A_16317,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,4,pool size,female,adult,Bondeno,44.883333,11.416667,WN045A_16316,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,200,pool size,female,adult,Finale Emilia,44.833333,11.283333,WN044B_16315,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,6,pool size,female,adult,Mirandola,44.886667,11.066667,WN042A_16314,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,5,pool size,female,adult,Bondeno,44.883333,11.416667,WN024A_16313,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,30,pool size,female,adult,Bondeno,44.883333,11.416667,WN023A_16312,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,29,pool size,female,adult,Concordia Sulla Secchia,44.916667,10.983333,WN021B_16311,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,6,pool size,female,adult,Ostellato,44.75,11.933333,WN068A_16310,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,72,pool size,female,adult,Ostellato,44.75,11.933333,WN067B_16309,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,2,pool size,female,adult,Ferrara,44.839167,11.6175,WN065A_16308,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,1,pool size,female,adult,Ferrara,44.839167,11.6175,WN047B_16307,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,2,pool size,female,adult,Comacchio,44.7,12.183333,COMA10_16306,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,11,pool size,female,adult,Modena,44.646944,10.925556,WN077A_16305,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,20,pool size,female,adult,Formigine,44.607222,10.933333,WN090A_16304,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,22,pool size,female,adult,Nonantola,44.678056,11.042222,WN078A_16303,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,7,pool size,female,adult,San Cesario Sul Panaro,44.561389,11.033889,WN092A_16302,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,11,pool size,female,adult,Medicina,44.483333,11.633333,WN110A_16301,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,30,pool size,female,adult,Budrio,44.55,11.533333,WN109A_16300,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,46,pool size,female,adult,Molinella,44.616667,11.666667,WN097B_16299,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,38,pool size,female,adult,Budrio,44.55,11.533333,WN096A_16298,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,121,pool size,female,adult,Baricella,44.65,11.533333,WN082B_16297,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,12,pool size,female,adult,Sissa Trecasali,44.9602,10.2616,WN036A_16296,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,26,pool size,female,adult,Soragna,44.933333,10.116667,WN035A_16295,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,4,pool size,female,adult,Colorno,44.933333,10.383333,WN017A_16294,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,15,pool size,female,adult,Roccabianca,45,10.216667,WN016A_16293,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,20,pool size,female,adult,Polesine Zibello,45.016667,10.083333,WN015A_16292,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,24,pool size,female,adult,San Prospero,44.783333,11.016667,WN060A_16291,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,9,pool size,female,adult,Carpi,44.783333,10.883333,WN059A_16290,morphological,Emilia-Romagna
Culex,pipiens,10/1/2023,10/7/2023,Oct,4,pool size,female,adult,Novi Di Modena,44.883333,10.9,WN041A_16289,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,27,pool size,female,adult,Ravenna,44.416111,12.201667,WN124A_16288,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,63,pool size,female,adult,Ravenna,44.416111,12.201667,WN114A_16287,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,11,pool size,female,adult,Lugo,44.416667,11.916667,WN112A_16286,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,123,pool size,female,adult,Argenta,44.615278,11.833333,WN101A_16285,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,12,pool size,female,adult,Argenta,44.615278,11.833333,WN099A_16284,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,17,pool size,female,adult,Argenta,44.615278,11.833333,WN085A_16283,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,4,pool size,female,adult,Argenta,44.615278,11.833333,WN083A_16282,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,19,pool size,female,adult,Poggio Renatico,44.766667,11.5,WN064A_16281,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,2,pool size,female,adult,San Martino In Rio,44.733333,10.783333,WN076A_16280,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,2,pool size,female,adult,Montecchio Emilia,44.683333,10.433333,WN074A_16279,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,26,pool size,female,adult,Bagnolo In Piano,44.766667,10.683333,WN057A_16278,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,49,pool size,female,adult,Gattatico,44.8,10.466667,WN056A_16277,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,24,pool size,female,adult,Fabbrico,44.866667,10.8,WN040A_16276,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,20,pool size,female,adult,Novellara,44.85,10.733333,WN039A_16275,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,46,pool size,female,adult,Brescello,44.9,10.516667,WN038A_16274,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,25,pool size,female,adult,Luzzara,44.966667,10.683333,WN019A_16273,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,1,pool size,female,adult,Goro,44.85,12.3,WN052A_16272,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,105,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_16271,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,6,pool size,female,adult,Jolanda Di Savoia,44.883333,11.983333,WN049A_16270,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,14,pool size,female,adult,Copparo,44.9,11.833333,WN048A_16269,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,99,pool size,female,adult,Mesola,44.916667,12.233333,WN030A_16268,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,6,pool size,female,adult,Berra,44.983333,11.966667,WN029A_16267,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,1,pool size,female,adult,Berra,44.983333,11.966667,WN028A_16266,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,2,pool size,female,adult,Ro,44.933333,11.75,WN027A_16265,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,8,pool size,female,adult,Bologna,44.493889,11.342778,WN108A_16264,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,4,pool size,female,adult,San Pietro In Casale,44.7,11.4,BONORD14_16263,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,21,pool size,female,adult,Anzola Emilia,44.547222,11.195556,BONORD09_16262,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,91,pool size,female,adult,Sala Bolognese,44.616667,11.25,BONORD07_16261,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,13,pool size,female,adult,Crevalcore,44.716667,11.15,BONORD02_16260,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,6,pool size,female,adult,Crevalcore,44.716667,11.15,BONORD01_16259,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,2,pool size,female,adult,Cortemaggiore,45,9.933333,WN014A_16258,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,58,pool size,female,adult,Cadeo,44.966667,9.833333,WN013A_16257,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,65,pool size,female,adult,Castelvetro Piacentino,45.1,9.983333,WN006A_16256,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,9,pool size,female,adult,Caorso,45.05,9.866667,WN005A_16255,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,25,pool size,female,adult,Piacenza,45.047778,9.700556,WN004A_16254,morphological,Emilia-Romagna
Culex,pipiens,9/24/2023,9/30/2023,Sep,42,pool size,female,adult,Calendasco,45.083333,9.6,WN003A_16253,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,14,pool size,female,adult,Terre Del Reno,44.808124,11.405098,WN063A_16252,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,5,pool size,female,adult,Bondeno,44.883333,11.416667,WN045A_16251,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,123,pool size,female,adult,Finale Emilia,44.833333,11.283333,WN044B_16250,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,193,pool size,female,adult,Mirandola,44.886667,11.066667,WN043A_16249,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,6,pool size,female,adult,Mirandola,44.886667,11.066667,WN042A_16248,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,11,pool size,female,adult,Bondeno,44.883333,11.416667,WN024A_16247,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,5,pool size,female,adult,Bondeno,44.883333,11.416667,WN023A_16246,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,6,pool size,female,adult,Concordia Sulla Secchia,44.916667,10.983333,WN021B_16245,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,5,pool size,female,adult,Formigine,44.607222,10.933333,WN090A_16244,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,51,pool size,female,adult,Modena,44.646944,10.925556,WN077A_16243,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,19,pool size,female,adult,San Prospero,44.783333,11.016667,WN060A_16242,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,22,pool size,female,adult,Carpi,44.783333,10.883333,WN059A_16241,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,27,pool size,female,adult,Novi Di Modena,44.883333,10.9,WN041A_16240,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,2,pool size,female,adult,Ostellato,44.75,11.933333,WN068A_16239,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,24,pool size,female,adult,Ostellato,44.75,11.933333,WN067B_16238,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,2,pool size,female,adult,Ostellato,44.75,11.933333,WN066A_16237,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,6,pool size,female,adult,Ferrara,44.839167,11.6175,WN065A_16236,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,5,pool size,female,adult,Ferrara,44.839167,11.6175,WN047B_16235,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,38,pool size,female,adult,Comacchio,44.7,12.183333,COMA10_16234,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,12,pool size,female,adult,San Cesario Sul Panaro,44.561389,11.033889,WN092A_16233,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,26,pool size,female,adult,Nonantola,44.678056,11.042222,WN078A_16232,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,31,pool size,female,adult,Sissa Trecasali,44.9602,10.2616,WN036A_16231,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,72,pool size,female,adult,Soragna,44.933333,10.116667,WN035A_16230,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,8,pool size,female,adult,Colorno,44.933333,10.383333,WN017A_16229,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,11,pool size,female,adult,Roccabianca,45,10.216667,WN016A_16228,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,80,pool size,female,adult,Polesine Zibello,45.016667,10.083333,WN015A_16227,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,39,pool size,female,adult,Medicina,44.483333,11.633333,WN110A_16226,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,15,pool size,female,adult,Budrio,44.55,11.533333,WN109A_16225,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,17,pool size,female,adult,Molinella,44.616667,11.666667,WN097B_16224,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,33,pool size,female,adult,Budrio,44.55,11.533333,WN096A_16223,morphological,Emilia-Romagna
Culex,pipiens,9/17/2023,9/23/2023,Sep,21,pool size,female,adult,Baricella,44.65,11.533333,WN082B_16222,morphological,Emilia-Romagna
Culex,pipiens,9/10/2023,9/16/2023,Sep,84,pool size,female,adult,Argenta,44.615278,11.833333,WN101A_16221,morphological,Emilia-Romagna
Culex,pipiens,9/10/2023,9/16/2023,Sep,7,pool size,female,adult,Argenta,44.615278,11.833333,WN099A_16220,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Goro,44.85,12.3,WN052A_15608,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15607,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15606,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15605,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15604,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15603,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15602,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15601,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15600,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15599,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15598,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Fiscaglia,44.270833,11.934722,WN050A_15597,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,95,pool size,female,adult,Jolanda Di Savoia,44.883333,11.983333,WN049A_15596,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Jolanda Di Savoia,44.883333,11.983333,WN049A_15595,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Jolanda Di Savoia,44.883333,11.983333,WN049A_15594,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Jolanda Di Savoia,44.883333,11.983333,WN049A_15593,morphological,Emilia-Romagna
Culex,pipiens,7/2/2023,7/8/2023,Jul,200,pool size,female,adult,Jolanda Di Savoia,44.883333,11.983333,WN049A_15592,morphological,Emilia-Romagna
