"genus","species","sample_start_date","sample_end_date","sample_value","sample_unit","sample_sex","sample_stage","sample_location","sample_lat_dd","sample_long_dd","sample_name","species_id_method","location_description"
"Culex","pipiens",2023-09-24,2023-09-30,1,"pool size","female","adult","Berra",44.983333,11.966667,"WN028A_16266","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,2,"pool size","female","adult","Ro",44.933333,11.75,"WN027A_16265","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,8,"pool size","female","adult","Bologna",44.493889,11.342778,"WN108A_16264","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,4,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_16263","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,21,"pool size","female","adult","Anzola Emilia",44.547222,11.195556,"BONORD09_16262","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,91,"pool size","female","adult","Sala Bolognese",44.616667,11.25,"BONORD07_16261","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,13,"pool size","female","adult","Crevalcore",44.716667,11.15,"BONORD02_16260","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,6,"pool size","female","adult","Crevalcore",44.716667,11.15,"BONORD01_16259","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,2,"pool size","female","adult","Cortemaggiore",45,9.933333,"WN014A_16258","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,58,"pool size","female","adult","Cadeo",44.966667,9.833333,"WN013A_16257","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,65,"pool size","female","adult","Castelvetro Piacentino",45.1,9.983333,"WN006A_16256","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,9,"pool size","female","adult","Caorso",45.05,9.866667,"WN005A_16255","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,25,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_16254","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,42,"pool size","female","adult","Calendasco",45.083333,9.6,"WN003A_16253","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,14,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_16252","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,5,"pool size","female","adult","Bondeno",44.883333,11.416667,"WN045A_16251","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,123,"pool size","female","adult","Finale Emilia",44.833333,11.283333,"WN044B_16250","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,193,"pool size","female","adult","Mirandola",44.886667,11.066667,"WN043A_16249","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,6,"pool size","female","adult","Mirandola",44.886667,11.066667,"WN042A_16248","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,11,"pool size","female","adult","Bondeno",44.883333,11.416667,"WN024A_16247","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,5,"pool size","female","adult","Bondeno",44.883333,11.416667,"WN023A_16246","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,6,"pool size","female","adult","Concordia Sulla Secchia",44.916667,10.983333,"WN021B_16245","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,5,"pool size","female","adult","Formigine",44.607222,10.933333,"WN090A_16244","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,51,"pool size","female","adult","Modena",44.646944,10.925556,"WN077A_16243","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,19,"pool size","female","adult","San Prospero",44.783333,11.016667,"WN060A_16242","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,22,"pool size","female","adult","Carpi",44.783333,10.883333,"WN059A_16241","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,27,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_16240","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,2,"pool size","female","adult","Ostellato",44.75,11.933333,"WN068A_16239","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,24,"pool size","female","adult","Ostellato",44.75,11.933333,"WN067B_16238","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,2,"pool size","female","adult","Ostellato",44.75,11.933333,"WN066A_16237","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,6,"pool size","female","adult","Ferrara",44.839167,11.6175,"WN065A_16236","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,5,"pool size","female","adult","Ferrara",44.839167,11.6175,"WN047B_16235","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,38,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_16234","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,12,"pool size","female","adult","San Cesario Sul Panaro",44.561389,11.033889,"WN092A_16233","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,26,"pool size","female","adult","Nonantola",44.678056,11.042222,"WN078A_16232","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,31,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_16231","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,72,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16230","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,8,"pool size","female","adult","Colorno",44.933333,10.383333,"WN017A_16229","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,11,"pool size","female","adult","Roccabianca",45,10.216667,"WN016A_16228","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,80,"pool size","female","adult","Polesine Zibello",45.016667,10.083333,"WN015A_16227","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,39,"pool size","female","adult","Medicina",44.483333,11.633333,"WN110A_16226","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,15,"pool size","female","adult","Budrio",44.55,11.533333,"WN109A_16225","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,17,"pool size","female","adult","Molinella",44.616667,11.666667,"WN097B_16224","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,33,"pool size","female","adult","Budrio",44.55,11.533333,"WN096A_16223","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,21,"pool size","female","adult","Baricella",44.65,11.533333,"WN082B_16222","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-10,2023-09-16,84,"pool size","female","adult","Argenta",44.615278,11.833333,"WN101A_16221","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-10,2023-09-16,7,"pool size","female","adult","Argenta",44.615278,11.833333,"WN099A_16220","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Goro",44.85,12.3,"WN052A_15608","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15607","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15606","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15605","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15604","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15603","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15602","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15601","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15600","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15599","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15598","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_15597","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,95,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15596","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15595","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15594","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15593","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15592","morphological","Emilia-Romagna"
